Model,Persona ID,Persona Name,Profile details,Name,Age,Gender,Personality Traits,Domain of work,Years of Exp.,Location,Education Level,Devices and technologies use,Reason(s),Y / N
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Aisha's outgoing and curious personality traits, combined with her experience in software development, may make her more likely to click on suspicious links or download attachments from unknown senders, potentially leading to phishing attacks.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Her outgoing and curious personality may make her more likely to click on suspicious links or respond to phishing emails, and her 5 years of experience in software development may not have equipped her with the necessary awareness and caution to detect and avoid phishing attempts.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Her outgoing and curious personality traits make her more likely to click on suspicious links and provide sensitive information, and her experience in software development may make her more familiar with online security, but also more confident in her ability to handle phishing attempts, making her more vulnerable.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Aisha's outgoing and curious personality traits make her more susceptible to phishing attacks, as she is likely to be more trusting and eager to engage with new information.",Yes
Llama-3-8B,P1,Ethan Kim,"Ethan Kim, 42yo, Entrepreneurship. Practical, Analytical",Ethan Kim,42,Male,"Practical, Analytical",Entrepreneurship,15,South Korea,Master's in Business Administration,"Tablet, Smartwatch",,No
Llama-3-8B,P1,Nalini Singh,"Nalini Singh, 35yo, Research and Conservation. Creative, Empathetic",Nalini Singh,35,Non-binary,"Creative, Empathetic",Research and Conservation,8,Australia,Ph.D. in Environmental Science,"Smartphone, E-reader",,No
Llama-3-8B,P1,Aisha Patel,"Aisha Patel, 28yo, Software Development. Outgoing, Curious",Aisha Patel,28,Female,"Outgoing, Curious",Software Development,5,India,Bachelor's in Computer Science,"Smartphone, Laptop","Aisha's outgoing and curious personality, combined with her limited experience in the field (5 years), makes her more susceptible to phishing attacks. Her devices, including her smartphone and laptop, increase her exposure to potential phishing attempts. Her curiosity and desire to learn new things may also lead her to click on suspicious links or open attachments from unknown sources.",Yes
